,Level,Model F+,Model F-,Phenom F+,Phenom F-,Sparsity
0,features,0.058897506,0.23617138,0.055993222882350285,0.22215079702635607,0.625
1,timesteps,0.23555039,0.03489016,0.21963202555129924,0.034890157356858256,0.41666666666666663
2,nodes,0.33238715,0.13472694,0.31101774886349837,0.12979840066432952,0.4
