,Level,Model F+,Model F-,Phenom F+,Phenom F-,Sparsity
0,features,0.094862126,0.036804315,0.05871872387952487,0.03319039806684381,0.09090909090909094
1,timesteps,0.089801684,0.021232575,0.038107671119048635,0.019944575225157118,0.26315789473684215
2,nodes,0.089543246,0.027577486,0.053074068828955066,0.025894289898090905,0.1428571428571429
