,Level,Model F+,Model F-,Phenom F+,Phenom F-,Sparsity
0,features,0.07119008,0.045852125,0.04660616634510233,0.03909363982897896,0.4545454545454546
1,timesteps,0.048941802,0.0673975,0.038843524982760606,0.04750030647550142,0.8421052631578947
2,nodes,0.035675287,0.10070686,0.029218950580875563,0.07418234613155457,0.5714285714285714
