,Level,Model F+,Model F-,Phenom F+,Phenom F-,Sparsity
0,features,0.24247822,0.27689683,0.2351687980790933,0.2483464830994606,0.625
1,timesteps,0.052411195,1.2765328e-07,0.051952797375122706,1.2765328089396159e-07,0.125
2,nodes,0.06181402,0.15357974,0.05944239745214582,0.1489035686949889,0.6
