,Level,Model F+,Model F-,Phenom F+,Phenom F-,Sparsity
0,features,0.13537617,0.04190679,0.11142893490690056,0.04052520390206677,0.16666666666666663
1,timesteps,0.14924665,0.00026643797,0.09349721707094565,0.00026643798245411173,0.10526315789473684
2,nodes,0.027536387,0.13560659,0.02744305354300252,0.11384785915149993,0.8235294117647058
