,Level,Model F+,Model F-,Phenom F+,Phenom F-,Sparsity
0,features,0.14042224,0.05860706,0.13464871697599687,0.04847856846849123,0.25
1,timesteps,0.09983974,0.01744857,0.09435134015381337,0.01733882080813249,0.5416666666666667
2,nodes,0.07478822,0.13627884,0.07405526128982505,0.129402329013745,0.8
