,0
0,0.31850472
1,0.29065523
2,0.3033838
3,0.2776951
4,0.25467086
5,0.23822169
6,0.24942535
7,0.21699217
8,0.1893968
9,0.15142694
10,0.1501736
11,0.14385852
12,0.15040034
13,0.12310301
14,0.13966492
15,0.114934675
16,0.109391056
17,0.10398691
18,0.110162325
19,0.10231801
20,0.10844617
21,0.09829696
22,0.092054546
23,0.09081198
24,0.091819204
25,0.089393094
26,0.07884952
27,0.08455454
28,0.07731022
29,0.07794218
30,0.08971972
31,0.08165516
32,0.07509637
33,0.07303993
34,0.07786901
35,0.08681676
36,0.07365075
37,0.069360405
38,0.057536144
39,0.0741696
40,0.06872564
41,0.07535629
42,0.06801278
43,0.073285654
44,0.0655225
45,0.07729319
46,0.074571796
47,0.0705315
48,0.07487345
49,0.060448326
50,0.059903555
51,0.062211297
52,0.06286741
53,0.06972972
54,0.060223717
55,0.053271458
56,0.05259736
57,0.05489648
58,0.05810561
59,0.052882873
60,0.05109944
61,0.0523829
62,0.056262165
63,0.05025825
64,0.05518862
65,0.056829892
66,0.054023765
67,0.0504272
68,0.053091183
69,0.04798259
70,0.048319604
71,0.04493266
72,0.052030038
73,0.045874346
74,0.04280802
75,0.04271309
76,0.03907432
77,0.049547143
78,0.04019776
79,0.047234528
80,0.038079165
81,0.04297916
82,0.04132329
83,0.044098932
84,0.039190307
85,0.03786113
86,0.038350474
87,0.04097469
88,0.03854678
89,0.03755778
90,0.037189964
91,0.041329898
92,0.042227745
93,0.041278183
94,0.04574012
95,0.03827769
96,0.03492838
97,0.035937253
98,0.04108601
99,0.035358887
100,0.03632521
101,0.035606246
102,0.032629814
103,0.03620182
104,0.038873006
105,0.037920147
106,0.035585605
107,0.035579666
108,0.03931436
109,0.03478039
110,0.036596306
111,0.03481118
112,0.03689798
113,0.036775798
114,0.034420323
115,0.034982026
116,0.03631484
117,0.03328128
118,0.035910062
119,0.031829882
120,0.03341438
121,0.03346399
122,0.03445226
123,0.029927326
124,0.036717635
125,0.032279957
126,0.034074306
127,0.032902196
128,0.031148382
129,0.03197339
130,0.03330048
131,0.029475588
132,0.033545006
133,0.03489846
134,0.03126618
135,0.03524932
136,0.032007564
137,0.031276003
138,0.03167115
139,0.033813357
140,0.03260332
141,0.03271333
142,0.031998962
143,0.032087483
144,0.03502181
145,0.031762294
146,0.03265086
147,0.036989145
148,0.028927952
149,0.031417057
150,0.030492868
151,0.03118296
152,0.031257182
153,0.033506423
154,0.028842933
155,0.031622045
156,0.030456496
157,0.0299019
158,0.031933796
159,0.030109629
160,0.029628597
161,0.03379232
162,0.031976268
163,0.030235035
164,0.028335113
165,0.027934385
166,0.029839426
167,0.029749181
168,0.030987468
169,0.036746014
170,0.03011879
171,0.028319383
172,0.029041056
173,0.027617052
174,0.030586205
175,0.03548965
176,0.028862823
177,0.029581599
178,0.030113593
179,0.031059716
180,0.029660866
181,0.031601045
182,0.029742792
183,0.029149445
184,0.028838502
185,0.029693317
186,0.03233335
187,0.028548788
188,0.029314421
189,0.030757576
190,0.030970544
191,0.028038926
192,0.030553732
193,0.029568229
194,0.030355861
195,0.027528837
196,0.029840494
197,0.030479277
198,0.029214509
199,0.03424199
200,0.032812834
201,0.032157943
202,0.030393902
203,0.028576791
204,0.03176783
205,0.032520425
206,0.026772143
207,0.03157831
208,0.02961794
209,0.03040681
210,0.027647529
211,0.029686498
212,0.029322559
213,0.02663343
214,0.028647538
215,0.028201139
216,0.033794403
217,0.02693767
218,0.030658726
219,0.029852077
220,0.028184664
221,0.028064895
222,0.028150037
223,0.030467574
224,0.028689008
225,0.028024364
226,0.027809404
227,0.02748552
228,0.027029034
229,0.02717288
230,0.030894196
231,0.026371012
232,0.028308824
233,0.029446948
234,0.02910398
235,0.03094821
236,0.028103527
237,0.02813798
238,0.02624025
239,0.025604563
240,0.027337873
241,0.030274289
242,0.027989648
243,0.0318501
244,0.026566422
245,0.027937485
