,0
0,1.9099742
1,2.3830428
2,2.037862
3,1.6816242
4,1.7166623
5,1.3979248
6,1.4774262
7,1.1455414
8,1.1611083
9,1.1092137
10,0.7721822
11,0.76635724
12,0.6303836
13,0.4531296
14,0.46076408
15,0.62849414
16,0.3240651
17,0.38672516
18,0.25714234
19,0.25956514
20,0.24422379
21,0.12698466
22,0.17388013
23,0.13091023
24,0.17344901
25,0.118325226
26,0.10813931
27,0.116528496
28,0.08584176
29,0.08099182
30,0.09798662
31,0.06535716
32,0.08553049
33,0.07874033
34,0.07513325
35,0.098087534
36,0.08485264
37,0.077066585
38,0.08017784
39,0.08688289
40,0.07873368
41,0.0782908
42,0.066805035
43,0.06860224
44,0.07275759
45,0.07625028
46,0.07414278
47,0.07438621
48,0.08275643
49,0.081660315
50,0.07059362
51,0.08817842
52,0.08538295
53,0.08713432
54,0.078889556
55,0.07546092
56,0.06774179
57,0.07358334
58,0.069791
59,0.062147655
60,0.074854165
61,0.0619485
62,0.069153324
63,0.075434014
64,0.072830394
65,0.05650803
66,0.0808491
67,0.07234371
68,0.086558476
69,0.07227398
70,0.059884936
71,0.06562019
72,0.0628707
73,0.06969461
74,0.06663571
75,0.06732403
76,0.06306299
77,0.060279034
78,0.07012644
79,0.059845418
80,0.06217966
81,0.06475121
82,0.049789153
83,0.052025326
84,0.07063771
85,0.06130523
86,0.061702713
87,0.070282504
88,0.064169906
89,0.054853283
90,0.058574047
91,0.06434348
92,0.05449247
93,0.061092794
94,0.0518829
95,0.068457365
96,0.059653584
97,0.06859743
98,0.073469155
99,0.05617833
100,0.065585494
101,0.05922758
102,0.054341838
103,0.061165955
104,0.058452986
105,0.059296295
106,0.07415435
107,0.059348144
108,0.051660538
109,0.06477861
110,0.055910975
111,0.058342576
112,0.056579813
113,0.0677741
114,0.059157617
115,0.05981946
116,0.057597484
117,0.0618255
118,0.05121739
119,0.05423652
120,0.061230518
121,0.051696025
122,0.056684468
123,0.062354773
124,0.05253084
125,0.058762223
126,0.06832372
127,0.053737536
128,0.06179868
129,0.08082162
130,0.05663594
131,0.062978566
132,0.07330021
133,0.058440838
134,0.06685273
135,0.057375804
136,0.063320614
137,0.067767605
138,0.04775188
139,0.06608843
140,0.06204606
141,0.06540851
142,0.056921512
143,0.0656714
144,0.071131706
145,0.06104532
146,0.064789124
147,0.06734294
148,0.052933626
149,0.06750703
150,0.06266687
151,0.06011936
152,0.061028033
153,0.056001943
154,0.062029652
155,0.055041105
156,0.053273723
157,0.050430834
158,0.053323254
159,0.051886294
160,0.04926449
161,0.047943536
162,0.060110405
163,0.0503729
164,0.04167223
165,0.058121365
166,0.050690595
167,0.059423536
168,0.043948524
169,0.04525099
170,0.05450259
171,0.05906012
172,0.05318982
173,0.056438796
174,0.057264827
175,0.059442732
176,0.049315333
177,0.049966946
178,0.05379294
179,0.051156245
180,0.051806506
181,0.052006245
182,0.048074972
183,0.051582325
184,0.051375885
185,0.057653725
186,0.05203601
187,0.057472106
188,0.05841702
189,0.051122967
190,0.063182
191,0.054804433
192,0.053753298
193,0.04526043
194,0.05073216
195,0.057473566
196,0.04783415
197,0.04970534
198,0.051638268
199,0.0530901
200,0.051129684
201,0.051567763
202,0.052884623
203,0.049150325
204,0.04298796
205,0.0584141
206,0.049902685
207,0.06013359
208,0.052016445
209,0.04792242
210,0.05369896
211,0.055247683
212,0.05764988
213,0.05712834
214,0.05395142
215,0.057679355
216,0.055067055
217,0.056487337
218,0.06310783
219,0.05369901
220,0.049703754
221,0.06025089
222,0.04869315
223,0.054734662
224,0.0652269
225,0.05149468
226,0.051018294
227,0.05997853
228,0.059591398
229,0.05535903
230,0.055517226
231,0.065303296
232,0.057441313
233,0.05983533
234,0.057774596
235,0.056420434
236,0.060476847
237,0.063329674
238,0.050396115
239,0.063260786
240,0.048804674
241,0.05457501
242,0.05973576
