,model,dataset,MF+,MF-,PF+,PF-,nMF+,nMF-,nPF+,nPF-,S,test_date
0,LSTM,beijing-multisite-airquality,0.03351815,0.097153686,0.027889457,0.097153686,0.22658657,0.65677017,0.063617386,0.65677017,0.7512626,3398
1,LSTM,beijing-multisite-airquality,0.050267123,0.011858088,0.02481056,0.009604873,0.38644725,0.09116347,0.19178146,0.025773667,0.790404,3426
2,LSTM,beijing-multisite-airquality,0.14520626,0.07478877,0.14059278,0.06965831,0.47934034,0.2468852,0.47037044,0.23391059,0.79545456,3838
3,LSTM,beijing-multisite-airquality,0.023636905,0.07716933,0.02152963,0.06945278,0.16623753,0.5427292,0.12820247,0.516489,0.8510101,3943
4,LSTM,beijing-multisite-airquality,0.03297544,0.17587078,0.02851369,0.15227641,0.13595513,0.7251013,0.07461715,0.6841878,0.7462121,4047
5,LSTM,beijing-multisite-airquality,0.098593146,0.2701532,0.08873054,0.22863258,0.26986733,0.7394583,0.9714421,0.9204252,0.8017677,4073
6,LSTM,beijing-multisite-airquality,0.004865257,0.029359285,0.0040456937,0.02449041,0.30039123,1.8127042,0.1439887,2.1066968,0.7828283,4420
