,Level,Model F+,Model F-,Phenom F+,Phenom F-,Sparsity
0,features,0.06554621,0.112506,0.06321264435440854,0.10124511664126634,0.33333333333333337
1,timesteps,0.15169737,0.0021810473,0.1204183984950946,0.0021810473689676813,0.1578947368421053
2,nodes,0.059869573,0.09911624,0.05827241325953935,0.08793723735087565,0.7058823529411764
