,model,dataset,MF+,MF-,PF+,PF-,S,nMF+,nMF-,test_date
0,LSTM,lightsource,0.0709329,0.13905835,0.05410083,0.08975142,0.9145591,0.6563874,0.51781774,209
1,LSTM,lightsource,0.05084564,0.13087061,0.04700797,0.12483964,0.9145591,0.9783933,0.22927815,242
2,LSTM,lightsource,0.054178063,0.08943346,0.045546517,0.06675531,0.9145591,0.6470196,0.5360761,247
3,LSTM,lightsource,0.01946647,0.13332836,0.01652353,0.11839327,0.9145591,0.9407925,0.33630496,259
4,LSTM,lightsource,0.054327417,0.11485743,0.050857916,0.09185836,0.9145591,1.2467031,0.1089106,285
